system:index,area,band,class,class_name,.geo
7_0_20,2.9923482176513696,classification_1992,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_21,66.73502613970969,classification_1992,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_22,11.47799067474363,classification_1992,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_23,1.6603174202880826,classification_1992,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_24,273.45665673603634,classification_1992,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_0,23.82487511645481,classification_1993,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_1,310146.7702808456,classification_1993,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_2,21988.51872831332,classification_1993,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_3,894.3557019136649,classification_1993,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_4,106.66313024139514,classification_1993,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_5,5435.825820611261,classification_1993,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_6,30294.321797323446,classification_1993,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_7,68.01584740753088,classification_1993,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_8,3018.744447246672,classification_1993,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_9,0.20391420233154295,classification_1993,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_10,914.4385617075183,classification_1993,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_11,1148.8825366190592,classification_1993,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_12,1.5527844669799806,classification_1993,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_13,253.5668116038828,classification_1993,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_14,302.96527680553527,classification_1993,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_15,4.406871772888205,classification_1993,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_16,0.018463244079589845,classification_1993,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_17,5.5593842747192355,classification_1993,32,Salt flat,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_18,6416.245094933401,classification_1993,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_19,6.366311653503408,classification_1993,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_20,2.920385124694826,classification_1993,40,Rice,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_21,98.12755175415097,classification_1993,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_22,12.86572635571289,classification_1993,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_23,1.6385467617187464,classification_1993,48,Other Perennial Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_24,273.47708029151744,classification_1993,49,Wooded Restinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_0,23.214692736816147,classification_1994,0,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_1,310065.02595547563,classification_1994,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_2,21934.161911153493,classification_1994,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_3,907.5355497830632,classification_1994,5,Magrove,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_4,83.82875121002218,classification_1994,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_5,5452.100142685619,classification_1994,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_6,30312.926796834698,classification_1994,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_7,66.72816214648388,classification_1994,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_8,3173.8991553384644,classification_1994,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_9,0.18356379321289062,classification_1994,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_10,911.6248981525225,classification_1994,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_11,1145.0928538223943,classification_1994,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_12,1.5744066306762698,classification_1994,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_13,251.65144279168746,classification_1994,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_14,306.2779372086107,classification_1994,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_15,4.38564329107668,classification_1994,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_16,0.018463244079589845,classification_1994,31,Aquaculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
